date,truck_num,weight
2020-01-03,truck2,315
2020-01-03,truck2,120
2020-01-03,truck2,110
2020-01-03,truck2,125
2020-01-03,truck2,335
2020-01-03,truck2,350
2020-01-03,truck2,445
2020-01-03,truck2,80
2020-01-03,truck2,285
2020-01-03,truck2,190
2020-01-03,truck2,10
2020-01-03,truck2,260
2020-01-03,truck2,0
2020-01-03,truck2,185
2020-01-03,truck2,425
2020-01-03,truck2,230
2020-01-03,truck2,460
2020-01-03,truck2,425
2020-01-03,truck2,270
2020-01-03,truck2,0
2020-01-03,truck2,165
2020-01-03,truck2,340
2020-01-03,truck2,265
2020-01-03,truck2,270
2020-01-03,truck2,0
2020-01-03,truck2,380
2020-01-03,truck2,320
2020-01-03,truck2,435
2020-01-03,truck3,210
2020-01-03,truck3,320
2020-01-03,truck3,290
2020-01-03,truck3,240
2020-01-03,truck3,125
2020-01-03,truck3,380
2020-01-03,truck3,235
2020-01-03,truck3,370
2020-01-03,truck3,170
2020-01-03,truck3,175
2020-01-03,truck3,460
2020-01-03,truck3,185
2020-01-03,truck3,310
2020-01-03,truck3,95
2020-01-03,truck3,215
2020-01-03,truck3,315
2020-01-03,truck3,365
2020-01-03,truck3,345
2020-01-03,truck3,105
2020-01-03,truck3,220
2020-01-03,truck3,170
2020-01-03,truck3,550
2020-01-03,truck3,90
2020-01-03,truck3,530
2020-01-03,truck3,65
2020-01-03,truck3,520
2020-01-03,truck3,340
2020-01-03,truck3,360
2020-01-03,truck3,930
2020-01-03,truck3,240
2020-01-03,truck3,215
2020-01-03,truck3,305
2020-01-03,truck3,205
2020-01-03,truck3,35
2020-01-03,truck3,425
2020-01-03,truck3,225
2020-01-03,truck3,180
2020-01-03,truck3,265
2020-01-03,truck3,355
2020-01-03,truck3,180
2020-01-03,truck3,10
2020-01-03,truck3,605
2020-01-03,truck3,340
2020-01-03,truck3,145
2020-01-03,truck3,20
2020-01-03,truck3,355
2020-01-03,truck3,440
2020-01-03,truck3,420
2020-01-03,truck3,290
2020-01-03,truck3,95
2020-01-03,truck3,230
2020-01-03,truck3,315
2020-01-03,truck3,185
2020-01-03,truck3,120
2020-01-03,truck3,200
2020-01-03,truck3,300
2020-01-03,truck3,320
2020-01-03,truck3,165
2020-01-03,truck3,2890
2020-01-03,truck3,2590
2020-01-03,truck3,2625
2020-01-03,truck3,2865
2020-01-03,truck3,370
2020-01-03,truck3,5
2020-01-03,truck4,255
2020-01-03,truck4,245
2020-01-03,truck4,490
2020-01-03,truck4,390
2020-01-03,truck4,80
2020-01-03,truck4,355
2020-01-03,truck4,300
2020-01-03,truck4,330
2020-01-03,truck4,290
2020-01-03,truck4,375
2020-01-03,truck4,340
2020-01-03,truck4,280
2020-01-03,truck4,425
2020-01-03,truck4,395
2020-01-03,truck4,330
2020-01-03,truck4,175
2020-01-03,truck4,90
2020-01-03,truck4,250
2020-01-03,truck4,220
2020-01-03,truck4,75
2020-01-03,truck4,400
2020-01-03,truck4,165
2020-01-03,truck4,470
2020-01-03,truck4,425
2020-01-03,truck4,380
2020-01-03,truck4,380
2020-01-03,truck4,195
2020-01-03,truck4,295
2020-01-03,truck4,580
2020-01-03,truck4,70
2020-01-03,truck4,545
2020-01-03,truck4,300
2020-01-03,truck4,355
2020-01-03,truck4,360
2020-01-03,truck4,335
2020-01-03,truck4,270
2020-01-03,truck4,160
2020-01-03,truck4,200
2020-01-03,truck4,475
2020-01-03,truck4,410
